mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0.133360545,0.0047076,0.00928839,0.00176163,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.790032234,0.785844562,0.79164661,0.789174468,0.002445099,6,4
0.059988578,0.003191723,0.007031679,0.000392202,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.793599782,0.787733298,0.79669182,0.792674967,0.003715306,2,4
0.1005071,0.003640018,0.00817736,0.001599346,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.793413689,0.787005188,0.795094918,0.791837932,0.003485512,3,4
0.092942476,0.003135378,0.008949518,0.00174421,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.789090041,0.784505786,0.788264957,0.787286928,0.001995203,7,4
0.109479268,0.007740844,0.008728425,0.001446432,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.785686647,0.779098294,0.780097143,0.781627361,0.00289917,8,4
0.055743615,0.000644835,0.006471952,0.000334268,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.787319315,0.786364262,0.807592149,0.793758575,0.009789581,4,5
0.103953759,0.014924678,0.009689331,0.000613051,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.787667106,0.787690178,0.809719647,0.795025644,0.010390234,2,5
0.10117801,0.032415261,0.010507743,0.001037142,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.783721129,0.785633883,0.80563735,0.791664121,0.009911374,5,5
0.146265904,0.004334596,0.014646928,0.000380562,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.78205215,0.783615222,0.807691754,0.791119709,0.011735567,6,5
0.054973682,0.0009308,0.007434686,0.000998675,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.787336714,0.787683559,0.810925514,0.795315262,0.011039023,1,5
0.09859252,0.002962948,0.009383758,0.000408881,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.786196513,0.786561325,0.809869434,0.794209091,0.011074536,3,5
0.073232969,0.001718629,0.0091784,0.000198754,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.781932248,0.784007078,0.805109594,0.79034964,0.01047118,7,5
0.110948483,0.010574778,0.013136228,0.001760614,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.775550035,0.777032542,0.799780717,0.784121098,0.011089551,8,5
